epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.28,4.22186,13.1449,4.62755,0,0,0,0,nan,nan,nan,0.000472931,0.000472931,0.000472931
2,274.762,3.74154,4.04884,4.23792,0,0,0,0,nan,nan,nan,0.000939867,0.000939867,0.000939867
3,351.685,3.61166,3.66579,4.14064,0,0,0,0,nan,nan,nan,0.00139737,0.00139737,0.00139737
4,429,3.29851,3.552,3.9037,0.49474,0.52982,0.51286,0.2049,4.42556,3.23614,4.25096,0.00138656,0.00138656,0.00138656
5,505.921,3.11436,3.27187,3.73745,0.16816,0.20707,0.13302,0.04123,6.86547,5.90504,6.1681,0.00137241,0.00137241,0.00137241
6,582.841,2.94887,2.95365,3.60135,0.65723,0.66015,0.69167,0.29207,3.718,2.75813,3.76506,0.00135826,0.00135826,0.00135826
7,659.71,2.95276,2.98926,3.5796,0.76141,0.67964,0.74308,0.3236,3.51125,2.69643,3.5036,0.00134412,0.00134412,0.00134412
8,736.777,2.85407,2.83897,3.42005,0.74267,0.71103,0.74808,0.32795,3.61796,2.57882,3.55848,0.00132997,0.00132997,0.00132997
9,813.625,2.78192,2.73983,3.38668,0.559,0.606,0.59949,0.28243,3.34389,2.84943,3.36585,0.00131582,0.00131582,0.00131582
10,890.362,2.75896,2.63174,3.39663,0.77908,0.73346,0.8213,0.39385,3.24138,2.39711,3.17761,0.00130168,0.00130168,0.00130168
11,967.252,2.71383,2.54021,3.31684,0.74593,0.67437,0.77843,0.38403,3.35356,2.35471,3.32699,0.00128753,0.00128753,0.00128753
12,1044.28,2.7609,2.5152,3.35292,0.86608,0.76616,0.85601,0.46262,3.09334,2.10433,2.99768,0.00127338,0.00127338,0.00127338
13,1121.14,2.66083,2.37236,3.27707,0.64761,0.39449,0.47369,0.12479,5.22486,4.95036,6.13651,0.00125923,0.00125923,0.00125923
14,1197.89,2.65373,2.34762,3.24541,0.76091,0.80139,0.83832,0.46973,3.06241,2.05119,2.92561,0.00124509,0.00124509,0.00124509
15,1274.73,2.61276,2.35729,3.19222,0.79712,0.7563,0.83705,0.44274,3.09373,2.08343,3.00139,0.00123094,0.00123094,0.00123094
16,1351.8,2.52846,2.33764,3.14348,0.76221,0.76869,0.80359,0.36582,3.22792,2.53317,3.08721,0.00121679,0.00121679,0.00121679
17,1428.74,2.56101,2.30974,3.12705,0.79411,0.78394,0.85565,0.47593,2.96704,1.9231,2.81743,0.00120265,0.00120265,0.00120265
18,1505.55,2.49871,2.23896,3.07521,0.4996,0.26941,0.3038,0.07742,6.81041,9.07632,8.96999,0.0011885,0.0011885,0.0011885
19,1582.35,2.49603,2.22448,3.09697,0.58056,0.47664,0.46904,0.14309,5.13743,4.31265,6.19956,0.00117435,0.00117435,0.00117435
20,1659.46,2.47149,2.09248,3.06041,0.89488,0.76033,0.84977,0.4619,3.00655,1.95444,2.83314,0.00116021,0.00116021,0.00116021
21,1736.24,2.52612,2.1089,3.10098,0.87224,0.76857,0.87609,0.50164,2.96627,1.71141,2.80354,0.00114606,0.00114606,0.00114606
22,1813.1,2.47992,2.12607,3.06008,0.87787,0.82175,0.8973,0.51549,3.00756,1.70461,2.84993,0.00113191,0.00113191,0.00113191
23,1889.91,2.44676,2.10393,3.03139,0.87498,0.79474,0.8917,0.4975,2.96994,1.74915,2.83747,0.00111776,0.00111776,0.00111776
24,1966.9,2.42779,2.03704,2.99355,0.87877,0.79036,0.87825,0.49717,2.94336,1.91654,2.7729,0.00110362,0.00110362,0.00110362
25,2043.68,2.4126,2.0205,2.97532,0.86683,0.75744,0.87191,0.50628,2.83001,1.74326,2.70197,0.00108947,0.00108947,0.00108947
26,2120.49,2.37024,1.97224,2.94831,0.87172,0.82711,0.91175,0.55016,2.81321,1.63726,2.67034,0.00107532,0.00107532,0.00107532
27,2197.37,2.45848,2.03815,2.96649,0.89849,0.23744,0.34393,0.09998,6.7353,7.88908,9.21927,0.00106118,0.00106118,0.00106118
28,2274.47,2.36686,1.94864,2.97844,0.90556,0.80017,0.91059,0.5505,2.82288,1.67206,2.7587,0.00104703,0.00104703,0.00104703
29,2351.36,2.38694,1.97148,2.95011,0.90082,0.80618,0.90957,0.52826,2.83279,1.65046,2.7975,0.00103288,0.00103288,0.00103288
30,2428.16,2.3849,1.93718,2.93549,0.86304,0.79226,0.88637,0.52775,2.87922,1.66569,2.77473,0.00101873,0.00101873,0.00101873
31,2504.93,2.35386,1.95696,2.92974,0.54653,0.55723,0.60897,0.26219,4.43644,3.92782,5.03103,0.00100459,0.00100459,0.00100459
32,2581.63,2.38781,1.9181,2.93997,0.89221,0.80997,0.90278,0.53129,2.80592,1.56553,2.65636,0.00099044,0.00099044,0.00099044
33,2658.67,2.32311,1.86585,2.91151,0.86378,0.8551,0.91498,0.54849,2.83018,1.58018,2.76035,0.000976293,0.000976293,0.000976293
34,2735.42,2.30329,1.86151,2.86599,0.86225,0.82782,0.89908,0.54457,2.81503,1.61155,2.68861,0.000962146,0.000962146,0.000962146
35,2812.21,2.29214,1.87157,2.86878,0.82492,0.82289,0.88216,0.5227,2.84448,1.67488,2.75121,0.000947999,0.000947999,0.000947999
36,2889.28,2.28351,1.81257,2.86824,0.89962,0.8119,0.91046,0.54356,2.69773,1.59922,2.58993,0.000933851,0.000933851,0.000933851
37,2966.12,2.28632,1.81609,2.86632,0.87545,0.79841,0.87969,0.5134,2.83645,1.63084,2.66557,0.000919704,0.000919704,0.000919704
38,3042.93,2.26512,1.80998,2.8654,0.84375,0.84698,0.89794,0.53844,2.77072,1.56612,2.59207,0.000905557,0.000905557,0.000905557
39,3119.92,2.25588,1.76892,2.87371,0.87263,0.83587,0.90397,0.55209,2.78554,1.49555,2.70192,0.00089141,0.00089141,0.00089141
40,3197.19,2.26264,1.79402,2.8479,0.87847,0.812,0.91149,0.5415,2.83324,1.56962,2.73188,0.000877263,0.000877263,0.000877263
41,3274.08,2.2952,1.81509,2.86307,0.89985,0.81915,0.91358,0.56208,2.68484,1.51687,2.60811,0.000863116,0.000863116,0.000863116
42,3351.03,2.25276,1.73597,2.84869,0.86655,0.86674,0.92228,0.55408,2.68662,1.51334,2.59958,0.000848969,0.000848969,0.000848969
43,3427.83,2.2174,1.7133,2.82784,0.86921,0.83974,0.91558,0.5509,2.78542,1.67045,2.59664,0.000834822,0.000834822,0.000834822
44,3504.67,2.19036,1.72997,2.80502,0.9158,0.82818,0.92049,0.55501,2.73581,1.43462,2.61757,0.000820675,0.000820675,0.000820675
45,3581.87,2.21604,1.7511,2.80994,0.91085,0.821,0.91794,0.56855,2.62908,1.43048,2.53668,0.000806528,0.000806528,0.000806528
46,3658.85,2.21268,1.69885,2.79279,0.88577,0.81937,0.91599,0.5608,2.69166,1.42517,2.58041,0.00079238,0.00079238,0.00079238
47,3735.73,2.15533,1.65654,2.73452,0.88807,0.7916,0.90794,0.54883,2.75473,1.56622,2.65061,0.000778233,0.000778233,0.000778233
48,3812.58,2.22593,1.66401,2.80244,0.85962,0.82312,0.9118,0.55532,2.72497,1.46026,2.61135,0.000764086,0.000764086,0.000764086
49,3889.71,2.19033,1.66668,2.75786,0.90084,0.81832,0.91483,0.55957,2.75189,1.48461,2.64428,0.000749939,0.000749939,0.000749939
50,3966.56,2.19611,1.68398,2.77776,0.89102,0.85277,0.92357,0.5694,2.6584,1.44052,2.5543,0.000735792,0.000735792,0.000735792
51,4043.57,2.13743,1.6509,2.7364,0.89956,0.84289,0.93054,0.56713,2.69036,1.42031,2.61974,0.000721645,0.000721645,0.000721645
52,4120.63,2.13879,1.64055,2.73941,0.8682,0.87293,0.92726,0.56152,2.79137,1.40098,2.65591,0.000707498,0.000707498,0.000707498
53,4197.56,2.17472,1.6019,2.76128,0.90059,0.82346,0.92267,0.56766,2.71649,1.40688,2.56918,0.000693351,0.000693351,0.000693351
54,4274.13,2.17512,1.56261,2.75913,0.90732,0.81637,0.91632,0.57124,2.72674,1.41431,2.60056,0.000679204,0.000679204,0.000679204
55,4350.82,2.17206,1.5914,2.73802,0.86753,0.86261,0.93202,0.58632,2.65923,1.36264,2.5454,0.000665057,0.000665057,0.000665057
56,4427.57,2.10148,1.52857,2.68731,0.86857,0.88068,0.93112,0.5844,2.69659,1.35609,2.55822,0.000650909,0.000650909,0.000650909
57,4504.49,2.14866,1.56047,2.71484,0.8655,0.81818,0.92479,0.5627,2.75611,1.45173,2.54335,0.000636762,0.000636762,0.000636762
58,4581.17,2.11643,1.51619,2.74205,0.92567,0.84963,0.93308,0.58851,2.72008,1.38428,2.572,0.000622615,0.000622615,0.000622615
59,4657.95,2.14489,1.61437,2.71704,0.88436,0.84517,0.91396,0.57035,2.67234,1.4649,2.51074,0.000608468,0.000608468,0.000608468
60,4734.81,2.15036,1.51933,2.69414,0.81019,0.86787,0.91797,0.57643,2.69377,1.45999,2.60584,0.000594321,0.000594321,0.000594321
61,4811.99,2.07015,1.51926,2.64502,0.88709,0.83842,0.9192,0.58341,2.69577,1.48752,2.58596,0.000580174,0.000580174,0.000580174
62,4888.83,2.10318,1.51222,2.69915,0.88969,0.85925,0.92185,0.57537,2.70611,1.45333,2.54959,0.000566027,0.000566027,0.000566027
63,4965.72,2.10181,1.5229,2.69278,0.88776,0.84296,0.93289,0.57956,2.69028,1.47684,2.57782,0.00055188,0.00055188,0.00055188
64,5042.82,2.10212,1.50671,2.66531,0.91427,0.8312,0.92651,0.58561,2.64681,1.38944,2.54615,0.000537733,0.000537733,0.000537733
65,5119.68,2.07082,1.46246,2.66104,0.84198,0.85924,0.90587,0.57422,2.60748,1.43965,2.52087,0.000523586,0.000523586,0.000523586
66,5196.51,2.04753,1.48131,2.63709,0.91616,0.8591,0.93352,0.58504,2.67266,1.39269,2.56422,0.000509438,0.000509438,0.000509438
67,5273.43,2.05072,1.46868,2.62963,0.90098,0.86591,0.93337,0.591,2.67272,1.33099,2.51297,0.000495291,0.000495291,0.000495291
68,5350.66,2.03133,1.47637,2.64512,0.90215,0.83356,0.92735,0.58721,2.64798,1.43666,2.52027,0.000481144,0.000481144,0.000481144
69,5427.54,2.07255,1.47775,2.67757,0.87901,0.86774,0.92787,0.58658,2.63244,1.36374,2.52782,0.000466997,0.000466997,0.000466997
70,5504.43,2.01951,1.44358,2.61077,0.91838,0.84532,0.93366,0.60113,2.58978,1.41354,2.52839,0.00045285,0.00045285,0.00045285
71,5581.41,2.03129,1.43842,2.6401,0.90276,0.82147,0.91762,0.58112,2.70445,1.65624,2.5698,0.000438703,0.000438703,0.000438703
72,5658.65,2.05223,1.45141,2.63642,0.89344,0.84228,0.92821,0.59775,2.61981,1.42142,2.54486,0.000424556,0.000424556,0.000424556
73,5735.59,1.99263,1.46082,2.62948,0.86577,0.83079,0.91678,0.59097,2.6778,1.66038,2.5292,0.000410409,0.000410409,0.000410409
74,5812.42,2.00706,1.40531,2.61596,0.858,0.8764,0.9289,0.59334,2.64417,1.48835,2.46571,0.000396262,0.000396262,0.000396262
75,5889.29,1.99373,1.41262,2.61089,0.87696,0.86158,0.92991,0.57599,2.68741,1.31345,2.51574,0.000382115,0.000382115,0.000382115
76,5966.48,2.02853,1.41027,2.60817,0.86986,0.85487,0.92142,0.59006,2.60066,1.45477,2.46515,0.000367967,0.000367967,0.000367967
77,6043.29,2.025,1.40536,2.61503,0.88828,0.87331,0.93184,0.59509,2.565,1.35409,2.43202,0.00035382,0.00035382,0.00035382
78,6120.07,1.98328,1.37017,2.60923,0.92607,0.85768,0.93343,0.60294,2.57987,1.41393,2.45469,0.000339673,0.000339673,0.000339673
79,6196.99,1.97202,1.39382,2.58042,0.86943,0.89828,0.93248,0.60141,2.5893,1.39519,2.51166,0.000325526,0.000325526,0.000325526
80,6274.09,1.96702,1.37441,2.61299,0.87935,0.83548,0.91802,0.5847,2.61139,1.41387,2.48387,0.000311379,0.000311379,0.000311379
81,6350.86,1.946,1.35708,2.57306,0.89613,0.89053,0.9326,0.59507,2.62176,1.43561,2.5149,0.000297232,0.000297232,0.000297232
82,6427.49,1.94837,1.32867,2.57076,0.90473,0.84376,0.93198,0.58867,2.63795,1.3136,2.52188,0.000283085,0.000283085,0.000283085
83,6504.18,2.00565,1.40166,2.57828,0.89748,0.87009,0.93439,0.59772,2.56294,1.39051,2.44645,0.000268938,0.000268938,0.000268938
84,6581.2,1.95452,1.36804,2.55852,0.88473,0.88977,0.93893,0.59876,2.61951,1.29227,2.48823,0.000254791,0.000254791,0.000254791
85,6657.94,1.88508,1.27229,2.5245,0.89147,0.85829,0.93237,0.59353,2.6496,1.41734,2.52056,0.000240644,0.000240644,0.000240644
86,6734.61,1.90329,1.30181,2.56593,0.88699,0.87891,0.92987,0.59401,2.71514,1.53627,2.53659,0.000226497,0.000226497,0.000226497
87,6811.52,1.90579,1.31446,2.55918,0.88456,0.8791,0.92659,0.59256,2.65268,1.33257,2.53083,0.000212349,0.000212349,0.000212349
88,6888.76,1.9244,1.29124,2.56839,0.8744,0.89124,0.92927,0.59872,2.55919,1.28334,2.46325,0.000198202,0.000198202,0.000198202
89,6965.72,1.92853,1.30064,2.52211,0.90516,0.88031,0.93696,0.60289,2.61722,1.33669,2.47656,0.000184055,0.000184055,0.000184055
90,7042.66,1.83899,1.24872,2.53713,0.9096,0.87534,0.93685,0.60751,2.64912,1.36354,2.48326,0.000169908,0.000169908,0.000169908
91,7120.25,2.45931,1.10851,2.32348,0.91909,0.83676,0.92829,0.59503,2.71012,1.50547,2.5441,0.000155761,0.000155761,0.000155761
92,7197.27,2.46316,1.05568,2.23423,0.89699,0.88656,0.92422,0.59421,2.70383,1.40976,2.54501,0.000141614,0.000141614,0.000141614
93,7273.99,2.41507,1.02998,2.2037,0.88702,0.85918,0.92859,0.5984,2.60006,1.39257,2.48665,0.000127467,0.000127467,0.000127467
94,7350.73,2.39915,1.004,2.2144,0.89218,0.88356,0.93536,0.59918,2.66368,1.33504,2.49761,0.00011332,0.00011332,0.00011332
95,7427.49,2.3544,0.99956,2.1974,0.90488,0.86109,0.92878,0.59576,2.65104,1.45641,2.5709,9.91726e-05,9.91726e-05,9.91726e-05
96,7504.15,2.29825,0.96747,2.19143,0.88039,0.87429,0.92511,0.5925,2.64091,1.43322,2.49147,8.50255e-05,8.50255e-05,8.50255e-05
97,7581.04,2.37993,0.99309,2.19473,0.91038,0.85675,0.92758,0.59655,2.6569,1.43522,2.55818,7.08784e-05,7.08784e-05,7.08784e-05
98,7657.57,2.28072,0.9535,2.18499,0.87194,0.86601,0.92186,0.59493,2.57631,1.50435,2.47716,5.67313e-05,5.67313e-05,5.67313e-05
99,7734.12,2.37653,0.96957,2.17322,0.89024,0.8632,0.91856,0.59521,2.56908,1.4869,2.48072,4.25842e-05,4.25842e-05,4.25842e-05
100,7810.67,2.24159,0.93018,2.15793,0.84331,0.90764,0.92084,0.5926,2.56255,1.46941,2.47658,2.84371e-05,2.84371e-05,2.84371e-05
